Joan_var,Pere_var,Marta_var,Claudia_var,Marc_var,Maria_var
1024.17,1506.23,1455.23,1701.39,2242.24,1883.05
1024.17,1506.23,1469.79,1701.39,2242.24,1883.05
1024.17,1506.23,1469.79,1701.39,2242.24,1883.05
1024.17,1506.23,1469.79,1701.39,2242.24,1883.05
1024.17,1521.29,1469.79,1701.39,2242.24,1883.05
1024.17,1521.29,1469.79,1718.41,2242.24,1883.05
1024.17,1521.29,1469.79,1718.41,2242.24,1883.05
1024.17,1521.29,1469.79,1718.41,2242.24,1901.88
1024.17,1521.29,1469.79,1718.41,2242.24,1901.88
1034.41,1521.29,1469.79,1718.41,2264.67,1901.88
1034.41,1521.29,1469.79,1718.41,2264.67,1901.88
1034.41,1521.29,1469.79,1718.41,2264.67,1901.88
1034.41,1521.29,1469.79,1718.41,2264.67,1901.88
1034.41,1521.29,1484.48,1718.41,2264.67,1901.88
1034.41,1521.29,1484.48,1718.41,2264.67,1901.88
1034.41,1521.29,1484.48,1718.41,2264.67,1901.88
1034.41,1536.5,1484.48,1718.41,2264.67,1901.88
1034.41,1536.5,1484.48,1735.59,2264.67,1901.88
1034.41,1536.5,1484.48,1735.59,2264.67,1901.88
1034.41,1536.5,1484.48,1735.59,2264.67,1920.89
1034.41,1536.5,1484.48,1735.59,2264.67,1920.89
1044.76,1536.5,1484.48,1735.59,2287.31,1920.89
1044.76,1536.5,1484.48,1735.59,2287.31,1920.89
1044.76,1536.5,1484.48,1735.59,2287.31,1920.89
1044.76,1536.5,1484.48,1735.59,2287.31,1920.89
1044.76,1536.5,1499.33,1735.59,2287.31,1920.89
1044.76,1536.5,1499.33,1735.59,2287.31,1920.89
1044.76,1536.5,1499.33,1735.59,2287.31,1920.89
1044.76,1551.87,1499.33,1735.59,2287.31,1920.89
1044.76,1551.87,1499.33,1752.95,2287.31,1920.89
1044.76,1551.87,1499.33,1752.95,2287.31,1920.89
1044.76,1551.87,1499.33,1752.95,2287.31,1940.1
1044.76,1551.87,1499.33,1752.95,2287.31,1940.1
1055.2,1551.87,1499.33,1752.95,2310.19,1940.1
1055.2,1551.87,1499.33,1752.95,2310.19,1940.1
1055.2,1551.87,1499.33,1752.95,2310.19,1940.1
1055.2,1551.87,1499.33,1752.95,2310.19,1940.1
1055.2,1551.87,1514.32,1752.95,2310.19,1940.1
1055.2,1551.87,1514.32,1752.95,2310.19,1940.1
1055.2,1551.87,1514.32,1752.95,2310.19,1940.1
1055.2,1567.38,1514.32,1752.95,2310.19,1940.1
1055.2,1567.38,1514.32,1770.48,2310.19,1940.1
1055.2,1567.38,1514.32,1770.48,2310.19,1940.1
1055.2,1567.38,1514.32,1770.48,2310.19,1959.5
1055.2,1567.38,1514.32,1770.48,2310.19,1959.5
1065.76,1567.38,1514.32,1770.48,2333.29,1959.5
1065.76,1567.38,1514.32,1770.48,2333.29,1959.5
1065.76,1567.38,1514.32,1770.48,2333.29,1959.5
1065.76,1567.38,1514.32,1770.48,2333.29,1959.5
1065.76,1567.38,1529.47,1770.48,2333.29,1959.5
1065.76,1567.38,1529.47,1770.48,2333.29,1959.5
1065.76,1567.38,1529.47,1770.48,2333.29,1959.5
1065.76,1583.06,1529.47,1770.48,2333.29,1959.5
1065.76,1583.06,1529.47,1788.18,2333.29,1959.5
1065.76,1583.06,1529.47,1788.18,2333.29,1959.5
1065.76,1583.06,1529.47,1788.18,2333.29,1979.1
1065.76,1583.06,1529.47,1788.18,2333.29,1979.1
1076.41,1583.06,1529.47,1788.18,2356.62,1979.1
1076.41,1583.06,1529.47,1788.18,2356.62,1979.1
1076.41,1583.06,1529.47,1788.18,2356.62,1979.1
1076.41,1583.06,1529.47,1788.18,2356.62,1979.1
1076.41,1583.06,1544.76,1788.18,2356.62,1979.1
1076.41,1583.06,1544.76,1788.18,2356.62,1979.1
1076.41,1583.06,1544.76,1788.18,2356.62,1979.1
1076.41,1598.89,1544.76,1788.18,2356.62,1979.1
1076.41,1598.89,1544.76,1806.06,2356.62,1979.1
1076.41,1598.89,1544.76,1806.06,2356.62,1979.1
1076.41,1598.89,1544.76,1806.06,2356.62,1998.89
1076.41,1598.89,1544.76,1806.06,2356.62,1998.89
1087.18,1598.89,1544.76,1806.06,2380.19,1998.89
1087.18,1598.89,1544.76,1806.06,2380.19,1998.89
1087.18,1598.89,1544.76,1806.06,2380.19,1998.89
1087.18,1598.89,1544.76,1806.06,2380.19,1998.89
1087.18,1598.89,1560.21,1806.06,2380.19,1998.89
1087.18,1598.89,1560.21,1806.06,2380.19,1998.89
1087.18,1598.89,1560.21,1806.06,2380.19,1998.89
1087.18,1614.88,1560.21,1806.06,2380.19,1998.89
1087.18,1614.88,1560.21,1824.12,2380.19,1998.89
1087.18,1614.88,1560.21,1824.12,2380.19,1998.89
1087.18,1614.88,1560.21,1824.12,2380.19,2018.88
1087.18,1614.88,1560.21,1824.12,2380.19,2018.88
1098.05,1614.88,1560.21,1824.12,2403.99,2018.88
1098.05,1614.88,1560.21,1824.12,2403.99,2018.88
1098.05,1614.88,1560.21,1824.12,2403.99,2018.88
1098.05,1614.88,1560.21,1824.12,2403.99,2018.88
1098.05,1614.88,1575.81,1824.12,2403.99,2018.88
1098.05,1614.88,1575.81,1824.12,2403.99,2018.88
1098.05,1614.88,1575.81,1824.12,2403.99,2018.88
1098.05,1631.03,1575.81,1824.12,2403.99,2018.88
1098.05,1631.03,1575.81,1842.37,2403.99,2018.88
1098.05,1631.03,1575.81,1842.37,2403.99,2018.88
1098.05,1631.03,1575.81,1842.37,2403.99,2039.07
1098.05,1631.03,1575.81,1842.37,2403.99,2039.07
1109.03,1631.03,1575.81,1842.37,2428.03,2039.07
1109.03,1631.03,1575.81,1842.37,2428.03,2039.07
1109.03,1631.03,1575.81,1842.37,2428.03,2039.07
1109.03,1631.03,1575.81,1842.37,2428.03,2039.07
